Bottle_ID,CO2_dry
1,798.1154384433498
2,807.2388088294385
3,391.3454758568007
4,399.5306738030804
5,416.5949607593189
6,401.5412941876083
7,403.08825054200275
8,417.4174905349762
9,805.5490240326694
10,804.5930779005457
11,400.2689675420559
12,816.2723851325934
13,417.6837019046222
14,809.3100835262264
15,800.1041813477402
16,401.87847450851604
17,390.0240811582326
18,401.1394581151683
19,413.5750279020124
20,401.80090700034015
21,400.7282170124109
22,406.676269659521
23,390.55985781923584
24,806.7636518969312
25,817.9944589683803
26,403.0484176551189
27,399.57209790624563
28,811.0857866985198
29,805.9569716975996
30,400.67101965388713
31,806.6917643208662
32,805.2646013098674
33,806.7391610200393
34,805.7284689396154
35,808.3055093557002
36,406.53149559549007
37,802.1964319732738
38,814.6655503422389
39,816.2521645761756
40,802.7083573471682
